article_body,article_date,article_title,image_link
"The
International Finance Corporation (IFC) and HSBC Global Asset Management announced
the establishment of the first global green bond fund targeting “real economy”
issuers in emerging markets.The
International Finance Corporation (IFC) and HSBC Global Asset Management announced
the establishment of the first global green bond fund targeting “real economy”
issuers in emerging markets.The fund is also aimed at increasing access
to climate finance and promoting the further development of green bond
markets. The Real Economy Green Investment Opportunity (REGIO) Fund is expected to catalyse at least $500 million to $700 million in multilateral and private sector capital to support well-diversified climate-smart investments in developing countries around the world—largely through green bonds issued by non-financial, or real sector, companies.  “This innovative fund will provide new opportunities for an important class of borrowers in green bond markets,” said IFC's CEO, Philippe Le Houérou.Le Houérou added: “The capital raised by REGIO will make a vital contribution to the fight against climate change and further promote sustainability-oriented capital markets.” Non-financial borrowers represent an
untapped opportunity in the global green bond market, IFC noted.REGIO will increase access to climate
finance for these borrowers by targeting a mix of manufacturing, agribusiness,
services, infrastructure, and sub-sovereign bonds, in addition to a smaller
allocation of financial-sector bonds. IFC will provide a $100 million anchor investment in the fund. HSBC will invest up to $75 million. The fund will have a total life of up to 15 years, including a seven-year investment period.  “HSBC Global Asset Management has deep expertise and experience in investing in global emerging markets and a strong commitment to playing its part in mobilising capital to deliver on the UN Sustainable Development Goals and transition to a low-carbon global economy,” said Sridhar Chandrasekharan, Global CEO at HSBC Global Asset Management. REGIO draws on IFC’s leadership in the green bond market—as an issuer, investor, and standard setter. Since 2010, IFC has issued 143 green bonds in 16 currencies, totalling over $9 billion.  REGIO aims to attract private capital by helping institutional investors attain their goals of allocating resources to developing economies, while achieving long-term sustainable growth and meeting fiduciary obligations. In particular, the fund will help address the demand for climate finance by providing an innovative, sectorally diversified vehicle to investors who currently lack the capability to invest in individual green bond transactions.A proprietary green impact framework and clear sustainability governance policies will ensure that REGIO adheres to measurable green impact objectives, both for targeted issuers and transparent impact reporting. To bolster the supply of green bonds issued by real sector borrowers, REGIO’s investment activities will also be complemented by a Technical Assistance Facility, managed by IFC.Since you're here, this will also be of interest to you: Nigeria moves to its second green bond issuanceLog in to leave a comment ","June 5, 2019",Pioneering green bond fund to focus on emerging markets,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/12/go-green.jpg
"The market for liquefied natural gas (LNG) in Mozambique is set to boom as another contract agreement has been confirmed.The market for liquefied natural gas (LNG) in Mozambique is set to boom as another contract agreement has been confirmed.New York-based
McDermott International announced this week that CCS JV, a joint venture
between McDermott, Saipem and Chiyoda, has reached full agreement for a
contract with Anadarko Petroleum Corporation for the Mozambique Area 1
Liquefied Natural Gas (LNG) Development.CCS JV's project scope includes the onshore engineering, procurement and construction (EPC) for all components of the onshore LNG development, which includes two LNG trains with a total nameplate capacity of 12.88 million tonnes per annum (MTPA) plus the associated utilities and infrastructure. Previously, CCS JV
provided front-end engineering design (FEED) services for this LNG development.McDermott's initial
portion of the EPC contract award is approximately $2 billion.""LNG is helping to shape an entirely new era of energy solutions, and McDermott is playing a significant role in this global shift,"" said Tareq Kawash, McDermott's senior vice president for Europe, Africa, Russia and Caspian.Here's another development to watch out for: Mozambique to make a big announcement around LNG in JuneMcDermott's group senior vice president for projects, Samik Mukherjee, also commented: “The Area 1 Mozambique LNG project will build on McDermott's industry-leading experience and demonstrate our ability to deliver comprehensive EPC solutions globally for world-scale LNG developments.”McDermott and Saipem
have established a new office in Italy, where a team from both companies will
lead the project management, engineering and procurement in advance of sharing
on-site construction management responsibilities. Chiyoda will only
provide advisory services for the joint venture. Work at the site is expected
to commence when Anadarko issues a notice to proceed after it takes a Final
Investment Decision.As the operator of Offshore Area 1, Anadarko is the primary project sponsor. Here are movers and shakers in the LNG market: Watch list: Natural hub to produce and export gasLog in to leave a comment ","June 7, 2019",LNG development on upward trajectory in Mozambique,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/02/Gas-pipeline.jpg
"Major repair work has been completed by Marthinusen & Coutts at Eskom’s Ingula pumped storage hydroelectric plant in what is described as the largest winding installation ever conducted in South Africa.Major repair work has been completed by Marthinusen & Coutts at Eskom’s Ingula pumped storage hydroelectric plant in what is described as the largest winding installation ever conducted in South Africa.Marthinusen & Coutts, a division
of ACTOM, has completed the stator rewind without incident at the Ingula plant.
The contract involved the complete rewind of a 373MVA stator for one of
Ingula’s four 14-pole motor generators. According to Richard Botton, managing
director of Marthinusen & Coutts, the 342MW unit is among the biggest in
South Africa with a core diameter measuring 5 metres, a core length of 3,2
metres and a rotor mass of 500 tonnes.“As the stator was located deep in the
turbine floor, all the winding was required to be conducted on site,” says
Botton. “In this complicated repair, each replacement coil set was fitted, connected and brazed on-site from pre-manufactured and pre-packed components supplied by the OEM. The most painstaking process, conducted to the highest standards, was the resistive brazing on 1,824 joints.”Also read this: No unemployment problem in South Africa says SACEECThe company carried out the work with
a 14-man team, completing the work in November 2018 after 100 days on site.
Their extensive preparation included the establishment of training jigs at its
Johannesburg facility, allowing customised training for all technicians
involved in the mammoth project. “We also conducted detailed testing,
and refurbishment where necessary, of all the winding equipment we would use on
site,” explains Botton, adding: “This contributed to smooth and uninterrupted
operations, making us self-sufficient in rolling out the contract.”Working closely with OEMs and Eskom, the company took full ownership of the rewind project from start to finish, he notes. The contract was successfully completed on-time with all test criteria well within specification.Find information on the Ingula Pumped Storage Scheme here.“With our in-country expertise, supported by our Centres of Excellence in Benoni and Cleveland, the project showed the world-class capability of Marthinusen & Coutts,” says Botton. “We could also contribute our specialised equipment and supply chain – elements that often present a challenge to foreign service providers trying to conduct this kind of project work in South Africa,” he concludes. Now watch this video interview with Ted Blom: “Changing the energy mix is a world-wide challenge” Log in to leave a comment ","June 6, 2019",Marthinusen & Coutts holds largest-ever stator rewind record in South Africa,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/06/Marthinusen-Coutts-Ingula-plant-stator-rewind-.jpg
"Global solar panel manufacturer Jinko Solar has reported sluggish movement in China’s solar photovoltaic (PV) power additions in 2019.  Global solar panel manufacturer Jinko Solar has reported sluggish movement in China’s solar photovoltaic (PV) power additions in 2019.  According to Jinko Solar's vice president, Qian Jing, China may add 30 to 40 gigawatts of solar power in 2019, down from 44 gigawatts the previous year, Bloomberg reported.She added that the potential slump will come despite additions accelerating in the second half of the year, she said. Bloomberg reported that China is shifting to a more market-driven approach in the solar power sector to reduce the financial burden from subsidies and cut back on unused capacity. The news agency added that a lack of clarity remains around how it will develop non-subsidised projects, as well as delays in regulators determining which proposed projects can still receive subsidies, which has left some developments in limbo.The company expects that more than 85% of revenue this year will come from overseas markets, up from 80% in 2018, Qian said. She added that there are bright spots in Europe, Asia, Latin America, Middle East and Africa.Since you're here, read this: Investment platform open for solar plants in West AfricaLog in to leave a comment ","June 6, 2019",Solar panel manufacturer notes downturn in China’s PV uptake,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/finance-and-investment.jpg
"Enel acting through its renewable subsidiary Enel Green Power Brasil (EGP Brazil), recently closed the sale of 100% of three fully operational renewable plants totalling 540MW to Chinese company CGN Energy.Enel acting through its renewable subsidiary Enel Green Power Brasil (EGP Brazil), recently closed the sale of 100% of three fully operational renewable plants totalling 540MW to Chinese company CGN Energy.According to a company statement, the
overall consideration of the transaction paid to Enel upon closing is equal to
the assets’ enterprise value and amounts to approximately €660 million ($743 million) at current exchange rates.The three renewable assets are the solar
plants; Nova Olinda (29MW), located in the north-eastern Brazilian state of
Piauí and Lapa (158MW), situated in the north-eastern Brazilian state of Bahia,
as well as the 90MW Cristalândia wind farm, also in Bahia. The consideration paid to Enel for the sale
of these three assets is subject to adjustments in line with the standard
market practice for this type of transaction.“In line with the group’s 2019-2021 Strategic Plan, this transaction aims to maximise and accelerate value creation by rotating assets to free up resources that can be invested in new projects, while Enel will continue plant management activities on the assets sold,” the company stated.The group noted that the Brazilian renewable market is rich in opportunities, of which the company wants to keep growing in the country, including by financing of its new investments through the Build, Sell and Operate (BSO) model.All three plants have long-term power purchase agreements (PPAs) in place.Lapa and Nova Olinda are supported by 20-year supply contracts that provide for the sale of specified volumes of energy generated by the plants to the Brazilian Chamber of Commercialisation of Electric Energy (Câmara de Comercialização da Energia Elétrica or CCEE). Cristalândia is supported by 20-year PPAs
with a pool of Brazilian electricity distribution companies. In terms of
capacity, the plants boast as follows:Also read more on: IFC invests $288m in Brazil’s thermal power projectLog in to leave a comment ","June 5, 2019",Enel sell off three renewable assets in Brazil,
"Global economic growth is forecast to ease to a weaker-than-expected 2.6% in 2019 before inching up to 2.7% in 2020, states a World Bank report. Global economic growth is forecast to ease to a weaker-than-expected 2.6% in 2019 before inching up to 2.7% in 2020, states a World Bank report. Growth in emerging
market and developing economies is expected to stabilise next year as some
countries move past periods of financial strain, but economic momentum remains
weak.Emerging and
developing economy growth is constrained by sluggish investment, and risks are
tilted to the downside. These risks include rising trade barriers, renewed financial stress, and sharper-than-expected slowdowns in several major economies, the World Bank says in its June 2019 Global Economic Prospects: Heightened Tensions, Subdued Investment. Structural problems that misallocate or discourage investment also weigh on the outlook.“Stronger economic
growth is essential to reducing poverty and improving living standards. Current economic momentum remains
weak, while heightened debt levels and subdued investment growth in developing
economies are holding countries back from achieving their potential,”
said World Bank Group President
David Malpass. “It’s urgent that
countries make significant structural reforms that improve the business climate
and attract investment. They also need to make debt management and transparency
a high priority so that new debt adds to growth and investment,” Malpass
stated.Growth among advanced
economies as a group is anticipated to slow in 2019, especially in the Euro
Area, due to weaker exports and investment. US growth is forecast to ease to
2.5% this year and decelerate to 1.7% in 2020. Euro Area growth is projected to
hover around 1.4% in 2020-21, with softness in trade and domestic demand
weighing on activity despite continued support from monetary policy.Meanwhile, growth among emerging market and developing economies is projected
to fall to a four-year low of 4% in 2019 before recovering to 4.6% in 2020. “While almost every economy faces
headwinds, the poorest countries face the most daunting challenges because of
fragility, geographic isolation, and entrenched poverty,” noted World Bank Group Vice President for Equitable
Growth, Finance and Institutions, Ceyla Pazarbasioglu.“Unless they can get onto a faster growth
trajectory, the goal of lowering extreme poverty under 3% by 2030 will remain
unreachable.”Download the June
2019 Global Economic Prospects report.Log in to leave a comment ","June 6, 2019",World Bank projects global economic growth to weaken to 2.6% in 2019,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/03/Energy-economy.jpg
"Growth markets for high-purity graphite in the bourgeoning electric vehicles (EV), energy storage markets will be boosted by the recent funds plugged into flake-graphite processing projects in Madagascar. Growth markets for high-purity graphite in the bourgeoning electric vehicles (EV), energy storage markets will be boosted by the recent funds plugged into flake-graphite processing projects in Madagascar. Tirupati Graphite, the flake-graphite company with primary mining and processing projects in Madagascar has announced a private placement of up to £3,000,000 in Convertible Loan Notes to fund its development and growth strategies.Tirupati is looking to build and expand on its existing production capabilities and become a leading producer of primary high-quality-flake graphite (up to 96% Cg) in Madagascar.The firm also aims to position itself as a producer of high-purity flake graphite (>99% Cg) from its downstream value-added processing facilities in India.With these two primary markets, the firm looks to target growth markets for high-purity graphite in the bourgeoning electric vehicles (EV), energy storage, flame retardants, composites as well as graphene industries. Read more: Coalition to accelerate energy storage adoption in developing countriesShishir Poddar, Tirupati Executive Chairman and MD, says: “We are delighted with the all-round progress we are making in advancing towards our goal of becoming a world-class, fully-integrated, high-quality-flake graphite and graphene producer.""The offering is structured with defined returns while providing the opportunity of significant potential upside for investors as the company delivers on its growth strategies.""Poddar added: ""The funds raised enable us to develop both our Vatomina and Sahamamy projects in Madagascar to the initial 9,000 tonnes per annum (tpa) of installed capacity, in addition to advancing our downstream processing and graphene projects in India.“Our modular development strategy is working well and is already seeing us generate revenues with Sahamamy ramping up to full production of 3,000tpa of high-quality flake bound for the international markets.""As we expand our production capacity up to 9,000tpa, we will have established a solid platform for our Madagascan projects to reach a combined production capacity of 81,000tpa over the next three years.“In addition to our primary production in Madagascar, the Patalganga flame retardant project in India provides us with specialised products for our initial market penetration into the high growth niche flake graphite flame retardants market.""With the larger scale downstream projects also being advanced with this funding round, we will be well placed to create and deliver significant upside for our investors, shareholders and all stakeholders.""Read further details on the mining project here...This article was first published on our sister website Mining Review Africa. Log in to leave a comment ","June 6, 2019",Tirupati Graphite raises £3m to fund growth in processing projects,
"President Muhammadu Buhari is advised to declare a state of emergency in the power sector.President Muhammadu Buhari is advised to declare a state of emergency in the power sector.This call comes from some US-based Nigerians who recently participated in an opinion survey conducted by the News Agency of Nigeria (NAN) in New York.According to THISDAY, Nigeria currently
generates an average of 4,000MW of electricity for a population exceeding 180
million, a situation that constrains growth and development.Responding to the
survey, the President of the Nigerians in Diaspora Organisation (NIDO), New
Jersey chapter, Kazeem Bello, underlined that reliable power supply as well as comprehensive
human capital are the foundation for economic and national development.""The government should
take the bull by the horn and declare a state of emergency in the power sector,”
Bello stated.He added: ""Nigerians
are very creative and industrious people; just give them constant and stable
power supply, you will see wonders.""Bello urged Buhari’s administration to intensify its efforts at creating an enabling environment for the private sector to thrive.He made a call for the government to invest in innovation with the youth at the centre of it all, and then to ""make funds available to small-holder private sector players"". ""We have billions of Naira being owed AMCON [the Assets Management Corporation of Nigeria] by rich Nigerians, but they are not paying the money.""Why don't you
refinance those loans and direct them to millions of Nigerians that will gladly
take them to generate economic activities and then pay back,"" Bello said.Speaking to THISDAY, former National
Chairman of the Institute of Electrical and Electronic Engineers (NIEEE), Emmanuel
Akinwole, appealed to President Buhari, to review the power sector
privatisation agreement to resolve the problems in the sector.Akinwole was quoted stating that the previous privatisation contract was a bad business proposal that could not work. However, he conceded that a review of the contract would make a difference.""I am a
procurement expert to World Bank standard, the regulation says if you realise
there is a bad contract, what you need to do is renegotiation,” he said.He further stated: ""If after you entered the contract, you now see the facts you did not see before, you have to rearrange it, so that there is a win-win situation. That is why we are challenging the government, that it has identified the problems in the last four years - the reasonable option now is to call the other parties and review the solution options.”You can also read more Nigerian news here: Nigeria moves to its second green bond issuanceLog in to leave a comment ","June 6, 2019",President Buhari urged to declare Nigeria’s power sector a state of emergency,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/06/President-Muhammadu-Buhari.jpg
"In Africa, it is estimated that by 2035 solar photovoltaic (PV) projects will contribute 9.8% of overall electricity generation making way for solar module efficiency research and development. In Africa, it is estimated that by 2035 solar photovoltaic (PV) projects will contribute 9.8% of overall electricity generation making way for solar module efficiency research and development. In South Africa, the National Energy Regulator of
South Africa (NERSA) announced recently that it has the go-ahead to license 500
megawatts (MW) per year of embedded generation projects each with an installed
capacity of under 10MW. Those projects will now be able to proceed without having to seek prior approval from the energy minister. These sorts of projects typically cover residential, commercial and industrial sites, and would include properties such as retail centres, warehouses and offices. Did you know? Capetonians must register their small-scale embedded generation (SSEG) systems. Find out more here. Did you know? Along with shifts in the traditional energy market,
consistent and rapid innovation in the field of solar PV places this energy
generation alternative at the forefront of efforts to reduce our collective
dependence on fossil fuels. So says Tim Frankish, managing director of
SolarSaver, an independent local renewables company that provides capex-free
solar solutions to businesses both here and in a growing sub-Saharan
market.  Frankish states: “The solar energy sector is highly
innovative and the past few years have seen a rapid growth in the range of
available solar panels, also known as modules. These modules now come in
innumerable different sizes and capacities, and employ a range of different
technologies. These developments are all aimed at driving efficiency, from both
a technical and a financial perspective.”  Manufacturers, such as Canadian Solar, have been
successful in developing higher performance modules that include features such
as passivated emitter real cell (PERC) and half-cut cells. “These technologies now see Canadian Solar’s HiKu
modules, for example, achieving efficiencies of up to 18.8% on 415 watt
ratings,” notes Frankish. “That’s a big jump from the 16.4% efficiencies and
260 watt ratings we saw as recently as 3 years ago.” The use of high solar module efficiency means that
installers require fewer of them to yield the same system output. This benefits
clients through a reduction in a project’s BOS (balance of system) costs and
enables more power to be generated off a smaller footprint. The latter is
particularly beneficial for high energy consumers that have limited roof space,
for example.Another innovation that is making a significant impact
on the solar landscape is the bifacial solar module. Bifacial modules
include solar cells on both the front and rear sides, enabling sunlight to be
captured both from above and below.  Frankish explains, “In contrast to the one-sided
absorption of traditional panels, bifacials are also able to absorb light that
is reflected off the ground or roof. Our experience shows that these modules,
if installed correctly, can yield 10 to 30% more than similar systems using
traditional modules.”  SolarSaver incorporated bifacial modules in its solar
installation at Gondwana Collection’s new lodge in Namibia, The Desert Grace.
The modules were mounted on custom-built carport structures and Frankish
believes they brought more to the project than just higher energy yields and solar
module efficiency. “Bifacial modules don’t have any plastic backsheets so
they look great from below. Our engineers were therefore able to combine
performance and aesthetics to give our clients a truly unique solution,” he
explains.Frankish says that bifacial modules do however pose a
challenge for parties looking to finance solar projects. “The challenge with
bifacial panels is the unpredictability of power output as the type of ground
behind the modules, and the way the modules are mounted, has a big influence on
the levels of output achieved. “It can therefore be difficult to model what the
installation will produce. The Desert Grace project was the first installation
in Africa to utilise Canadian Solar’s bifacial modules and provided us with an
important test case.” SolarSaver has subsequently used bifacial modules at a number of other sites in Namibia and will soon start installation of similar carport structures at Cape Point Vineyards, a wine estate near Cape Town.This story will also interest you: Tilt solar PV market to record 9% growth in five years’ timeLog in to leave a comment ","June 6, 2019",Solar module efficiency increasing as demand rises,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/06/Hatfield-VW-Braamfontein-SA-1.jpg
"The wind industry association says South Africa needs to shift away from a centralised monopoly to a more efficient decentralised generation model to increase competition and drive down energy prices.The wind industry association says South Africa needs to shift away from a centralised monopoly to a more efficient decentralised generation model to increase competition and drive down energy prices.“There is a global shift away from large centralised utilities to decentralised power generation that is closer to the consumption point and minimises system losses. This also opens opportunities for private sector participation in the energy generation business, which introduces competition into the electricity generation market in the interest of price reductions,” said Ntombifuthi Ntuli, SAWEA board member and research group leader for the energy industry at the CSIR Energy Centre.When asked if there will be a preference towards independent providers who generate electricity through sustainable means, SAWEA responded in the affirmative, stating that renewable energy Independent Power Producers (IPPs) have the ability to raise finance for electricity build expansion and develop smaller projects that reach commercial operation in an average of 24-months, which is far quicker than new build coal. These renewable projects also contribute to a massive reduction in the energy sector carbon emissions and water consumption. Read for more information: 2018: A good year for wind turbine manufacturers in AfricaSAWEA has however pointed out that a foreseeable downside of the connection of small-scale embedded generation (SSEG) is their impact on the distribution network. “If
not planned properly, the integration of SSEGs can pose system operation
challenges in a long run,” explained Ntuli.SAWEA says that the delayed announcement of the Integrated Resource Plan (IRP) should not have an impact as the Energy Minister’s announcement has capped the number of projects to be licensed to a total of 500MW, whilst the current IRP Draft allocated a total of 2,600MW to embedded generation. Furthermore, the Minister is empowered by section 10(2)(g) of the Electricity Regulation Act, 2006 to grant deviations from the IRP ""so we don’t foresee issues in that regard"".Log in to leave a comment ","June 7, 2019",SA wind industry says decentralised generation model is needed,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/06/Jefferys-Bay-optimised.jpg
